"","FPKM.liver.tablemaker"
"506",0
"507",1.18879
"508",0
"509",0
"510",7.60549
"511",0
"512",8.27805
"513",3.18913
"514",9.18621
"515",0
"516",0
"517",0
"518",0
"519",0
"520",17.9438
"521",0
"522",0
"523",2.99545
"524",1.20738
"525",0
"526",0
"527",9.8454
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",7.73459
"538",10.2791
"539",0
"540",0
"541",0
"542",0
"543",39.4941
"544",0
"545",2.36379
"546",0
"547",0
"548",0
"549",0
"550",0
"551",3.64035
"552",0
"553",0
"554",4.96566
"555",0
"556",18.0157
"557",0
"558",22.3553
"559",0
"560",73.4294
"561",12.2117
"562",0
"563",7.60068
"564",0
"565",0
"566",3.70953
"567",0
"568",0
"569",12.0474
"570",0.0002491
"571",6.01965e-07
"572",0
"573",0
"574",0
"575",0
"576",0
"577",2.59296
"578",1.87954
"579",0
"580",0
"581",21.4667
"582",0
"583",19.5583
"584",2.95855
"585",0
"586",0
"587",0
"588",0
"589",3.99569
"590",0
"591",37.3099
"592",3.43258
"593",2.90808
"594",6.02176
"595",0
"596",3.81323
"597",3.92125
"598",6.95855
"599",12.5874
"600",3.26562
"601",9.12638
"602",2.01862
"603",14.0606
"604",0
"605",0
"606",0
"607",0
"608",0
"609",3.70953
"610",0
"611",0
"612",0
"613",0
"614",0
"615",3.96103
"616",0
"617",129.777
"618",0
"619",0
"620",0
"621",0
"622",6.64227
"623",4.34348
"624",0
"625",0
"626",21.1123
"627",0
"628",0
"629",0
"630",0
"631",12.2371
"632",0
"633",0
"634",4.89146
"635",0
"636",0
"637",0
"638",0
"639",0
"640",12.1458
"641",0
"642",16.1546
"643",6.86469
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",17.3009
"656",23.3367
"657",38.6
"658",0
"659",9.88351
"660",0
"661",0
"662",0
"663",7.38251
"664",7.39251
"665",0
"666",3.66961
"667",0
"668",0
"669",0
"670",0
"671",0
"672",17.2262
"673",197.419
"674",0
"675",0
"676",0
"677",2.62793
"678",3.2707
"679",2.45748
"680",17.5558
"681",4.8053
"682",0
"683",0
"684",21.0338
