"","FPKM.brain.tablemaker"
"479",2.52275
"480",2.83588
"481",2.56252
"482",2.80827
"483",2.57972
"484",0
"485",2.86237
"486",0
"487",77.8407
"488",2.49355
"489",0
"490",0
"491",23.67
"492",0
"493",7.03171
"494",0
"495",4.06852e-05
"496",2.64415
"497",0
"498",0
"499",0
"500",2.6924
"501",0
"502",0
"503",3.00062
"504",0
"505",0
"506",1.42199
"507",1.33391
"508",0
"509",2.88308
"510",1.06192
"511",0
"512",0
"513",1.27378
"514",2.74244
"515",31.2368
"516",0.000967916
"517",0.00131037
"518",0
"519",0
"520",0
"521",2.15968
"522",0
"523",28.1196
"524",1.23126
"525",5.15574
"526",2.58245
"527",2.75762
"528",3.77681
"529",0
"530",0
"531",0
"532",0
"533",0
"534",10.275
"535",36.593
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",1.28986
"543",0
"544",0
"545",2.49491
"546",2.04863
"547",3.21922
"548",0
"549",3.61244
"550",0
"551",3.87837
"552",0
"553",1.55582
"554",3.57718
"555",0
"556",85.2761
"557",15.7052
"558",0
"559",5.68548
"560",0
"561",2.84831
"562",0
"563",5.10945
"564",4.68232
"565",4.96841
"566",3.11049e-05
"567",6.71466e-06
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",4.01917
"576",2.73893e-05
"577",0
"578",2.78995e-05
"579",2.32477
"580",4.28682
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",18.9324
"592",2.00633
"593",52.9459
"594",0
"595",0
"596",2.81014
"597",12.0008
"598",1.10599e-51
"599",0.000693224
"600",1.13595e-51
"601",4.21708
"602",0
"603",3.59289
"604",3.52964
"605",4.60648
"606",4.15163e-05
"607",2.2953
"608",5.82684
"609",3.48945
"610",0
"611",0
"612",3.3483
"613",0
"614",0
"615",1.78948
"616",0
"617",0
"618",6.70862
"619",0
"620",0
"621",2.09206
"622",2.49511
"623",0
"624",3.23415
"625",10.6032
"626",0
"627",0
"628",3.83177
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",4.586
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",3.66225
"643",0
"644",3.26631
"645",0
"646",0
"647",0.135583
"648",2.18188e-83
"649",3.76727
"650",3.15669e-82
"651",0
"652",0
"653",0
"654",0
"655",0
"656",29.3131
"657",0
"658",0
"659",1.8795
"660",0
"661",2.60951
"662",12.1513
"663",24.1647
"664",0.846456
"665",0
"666",12.7388
"667",0
"668",0
"669",1.71819
"670",2.83525
"671",0
"672",5.24276
"673",0
"674",0
"675",2.70129
"676",0
"677",3.22498
"678",2.0506
"679",0
"680",3.66225
"681",0
"682",0
"683",1.4719
"684",0
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",0
"692",21.2201
"693",0
"694",0
"695",0
"696",104.678
"697",0
"698",0
"699",0
"700",0.0803302
"701",6.63776
"702",0
"703",1.1469
"704",1.70935
"705",0
"706",2.72717
"707",1.7654
"708",2.50926
"709",0
"710",0
"711",3.03924
"712",0
"713",0
"714",0
"715",0
"716",0.748456
"717",1.26208
"718",0
"719",0
"720",1.57426
"721",1.53248
"722",3.82394
"723",0
"724",0
"725",0
"726",0
"727",0
"728",1.90102
"729",0
"730",0
"731",1.0901
"732",1.73013
"733",0
"734",0
"735",26.4141
"736",0
"737",0
"738",7.84662
"739",0
"740",0
"741",5.9078
"742",7.44167
"743",0
"744",0
"745",31.7407
"746",7.28856e-06
"747",7.84462
"748",7.40708
"749",7.60691
"750",0
"751",15.9071
"752",5.0354e-06
"753",52.3222
"754",6.49511
"755",3.69109
"756",0
"757",2.04652
"758",0
"759",4.07838
